#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-xinit,"starts the graphical server."
,xorg-xset,"speedup cursor."
,xorg-xsetroot,"statusbar dependency."
,pacman-contrib,"cleanup hook dependency."
,otf-libertinus,"provides the sans and serif fonts for LARBS."
,woff2-font-awesome,"provides extended glyph support."
,ttf-nerd-fonts-symbols,"even more glyphs."
,ttf-dejavu,"properly displays emojis."
,lf,"is an extensive terminal file manager that everyone likes."
,ueberzugpp,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,s-nail,"classic mail."
,dma,"mta required for mail."
,ed,"is the standard text editor."
,hdparm,"for disabling excessive disk head parking."
,intel-ucode,"prevents crashes."
,transmission-cli,"for torrenting."
,arandr,"allows the user to customize monitor arrangements."
,mesa,"graphics driver."
,vulkan-intel,"graphics driver."
,ocl-icd,"graphics driver."
,intel-compute-runtime,"graphics driver."
,libva-intel-driver,"graphics driver."
,intel-media-driver,"for newer Intel machines."
,emby-server,"for streaming to tv."
,aria2,"super fast downloader."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
,gnome-themes-extra,"system dark theme."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox,"web browser."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,noto-fonts-cjk,"font for asian languages."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,zip,"zips zips."
,unzip,"unzips zips."
,unrar,"unrars rars."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,keyd,"for remapping keys."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,deno,"yt-dlp requires this."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,brightnessctl,"enables changing screen brightness levels."
,bluez,"bluetooth."
,bluez-utils,"utils for bluetooth."
,bluetui,"TUI for bluetooth."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/PlaySomeJazz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/PlaySomeJazz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/PlaySomeJazz/dwm.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance maimpick"
,tesseract-data-eng,"english language pack for OCR"
A,gallery-dl,"image downloader."
